Timestamp (UTC),Locked,Sentry Mode
"2026-05-07 00:25:48","1","1"
"2026-05-07 00:26:42","1","1"
"2026-05-07 00:27:16","1","1"
"2026-05-07 00:27:18","1","1"
"2026-05-07 00:28:59","1","1"
"2026-05-07 00:29:59","1","1"
"2026-05-07 00:30:59","1","1"
"2026-05-07 00:31:59","1","1"
"2026-05-07 00:34:07","1","1"
"2026-05-07 00:35:07","1","1"
"2026-05-07 00:36:07","1","1"
"2026-05-07 00:37:07","1","1"
"2026-05-07 00:38:07","1","1"
"2026-05-07 00:39:07","1","1"
"2026-05-07 00:40:07","1","1"
"2026-05-07 00:41:07","1","1"
"2026-05-07 00:42:07","1","1"
"2026-05-07 00:43:07","1","1"
"2026-05-07 00:44:07","1","1"
"2026-05-07 00:45:07","1","1"
"2026-05-07 00:46:07","1","1"
"2026-05-07 00:47:07","1","1"
"2026-05-07 00:48:07","1","1"
"2026-05-07 00:48:38","1","1"
"2026-05-07 00:48:54","0","0"
"2026-05-07 00:49:05","0","0"
"2026-05-07 00:49:35","1","0"
"2026-05-07 00:50:05","1","0"
"2026-05-07 00:50:35","1","0"
"2026-05-07 00:51:05","1","0"
"2026-05-07 00:51:35","1","0"
"2026-05-07 00:52:05","1","0"
"2026-05-07 00:52:24","1","0"
"2026-05-07 00:52:35","1","0"
"2026-05-07 00:53:05","1","0"
"2026-05-07 00:53:40","1","0"
"2026-05-07 00:53:46","0","0"
"2026-05-07 00:54:16","0","0"
"2026-05-07 00:54:22","0","0"
"2026-05-07 00:54:27","0","0"
"2026-05-07 00:54:36","0","0"
"2026-05-07 00:54:48","0","0"
"2026-05-07 00:54:50","0","0"
"2026-05-07 00:54:57","0","0"
"2026-05-07 00:56:17","0","0"
"2026-05-07 00:57:03","1","0"
"2026-05-07 00:57:43","1","0"
"2026-05-07 00:58:17","1","0"
"2026-05-07 00:59:03","1","0"
"2026-05-07 00:59:17","1","0"
"2026-05-07 01:00:17","1","0"
"2026-05-07 01:00:51","1","0"
"2026-05-07 01:01:37","1","0"
"2026-05-07 01:02:37","1","0"
"2026-05-07 01:03:37","1","0"
"2026-05-07 01:04:37","1","0"
"2026-05-07 01:05:37","1","0"
"2026-05-07 01:06:37","1","0"
"2026-05-07 01:07:37","1","0"
"2026-05-07 01:08:37","1","0"
"2026-05-07 01:09:37","1","0"
"2026-05-07 01:10:37","1","0"
"2026-05-07 01:11:26","1","0"
"2026-05-07 01:15:34","1","0"
"2026-05-07 01:15:38","1","0"
"2026-05-07 01:15:44","1","0"
"2026-05-07 01:16:04","1","0"
"2026-05-07 01:59:56","1","0"
"2026-05-07 02:00:04","1","0"
"2026-05-07 02:00:07","1","0"
"2026-05-07 02:00:08","1","0"
"2026-05-07 02:01:02","1","0"
